ilce_id,ilce,year,space_cluster,year_block,block_id,crop,tier
1163,Babaeski,2004,2,0,2,bugday,A
1163,Babaeski,2005,2,0,2,bugday,A
1163,Babaeski,2006,2,0,2,bugday,A
1163,Babaeski,2007,2,0,2,bugday,A
1163,Babaeski,2008,2,0,2,bugday,A
1163,Babaeski,2009,2,1,7,bugday,A
1163,Babaeski,2010,2,1,7,bugday,A
1163,Babaeski,2011,2,1,7,bugday,A
1163,Babaeski,2012,2,1,7,bugday,A
1163,Babaeski,2013,2,2,12,bugday,A
1163,Babaeski,2014,2,2,12,bugday,A
1163,Babaeski,2015,2,2,12,bugday,A
1163,Babaeski,2016,2,2,12,bugday,A
1163,Babaeski,2017,2,2,12,bugday,A
1163,Babaeski,2018,2,3,17,bugday,A
1163,Babaeski,2019,2,3,17,bugday,A
1163,Babaeski,2020,2,3,17,bugday,A
1163,Babaeski,2021,2,3,17,bugday,A
1163,Babaeski,2022,2,4,22,bugday,A
1163,Babaeski,2023,2,4,22,bugday,A
1163,Babaeski,2024,2,4,22,bugday,A
1163,Babaeski,2025,2,4,22,bugday,A
1250,Çerkezköy,2004,3,0,3,bugday,A
1250,Çerkezköy,2005,3,0,3,bugday,A
1250,Çerkezköy,2006,3,0,3,bugday,A
1250,Çerkezköy,2007,3,0,3,bugday,A
1250,Çerkezköy,2008,3,0,3,bugday,A
1250,Çerkezköy,2009,3,1,8,bugday,A
1250,Çerkezköy,2010,3,1,8,bugday,A
1250,Çerkezköy,2011,3,1,8,bugday,A
1250,Çerkezköy,2012,3,1,8,bugday,A
1250,Çerkezköy,2013,3,2,13,bugday,A
1250,Çerkezköy,2014,3,2,13,bugday,A
1250,Çerkezköy,2015,3,2,13,bugday,A
1250,Çerkezköy,2016,3,2,13,bugday,A
1250,Çerkezköy,2017,3,2,13,bugday,A
1250,Çerkezköy,2018,3,3,18,bugday,A
1250,Çerkezköy,2019,3,3,18,bugday,A
1250,Çerkezköy,2020,3,3,18,bugday,A
1250,Çerkezköy,2021,3,3,18,bugday,A
1250,Çerkezköy,2022,3,4,23,bugday,A
1250,Çerkezköy,2023,3,4,23,bugday,A
1250,Çerkezköy,2024,3,4,23,bugday,A
1250,Çerkezköy,2025,3,4,23,bugday,A
1258,Çorlu,2004,3,0,3,bugday,A
1258,Çorlu,2005,3,0,3,bugday,A
1258,Çorlu,2006,3,0,3,bugday,A
1258,Çorlu,2007,3,0,3,bugday,A
1258,Çorlu,2008,3,0,3,bugday,A
1258,Çorlu,2009,3,1,8,bugday,A
1258,Çorlu,2010,3,1,8,bugday,A
1258,Çorlu,2011,3,1,8,bugday,A
1258,Çorlu,2012,3,1,8,bugday,A
1258,Çorlu,2013,3,2,13,bugday,A
1258,Çorlu,2014,3,2,13,bugday,A
1258,Çorlu,2015,3,2,13,bugday,A
1258,Çorlu,2016,3,2,13,bugday,A
1258,Çorlu,2017,3,2,13,bugday,A
1258,Çorlu,2018,3,3,18,bugday,A
1258,Çorlu,2019,3,3,18,bugday,A
1258,Çorlu,2020,3,3,18,bugday,A
1258,Çorlu,2021,3,3,18,bugday,A
1258,Çorlu,2022,3,4,23,bugday,A
1258,Çorlu,2023,3,4,23,bugday,A
1258,Çorlu,2024,3,4,23,bugday,A
1258,Çorlu,2025,3,4,23,bugday,A
1270,Demirköy,2004,1,0,1,bugday,A
1270,Demirköy,2005,1,0,1,bugday,A
1270,Demirköy,2006,1,0,1,bugday,A
1270,Demirköy,2007,1,0,1,bugday,A
1270,Demirköy,2008,1,0,1,bugday,A
1270,Demirköy,2009,1,1,6,bugday,A
1270,Demirköy,2010,1,1,6,bugday,A
1270,Demirköy,2011,1,1,6,bugday,A
1270,Demirköy,2021,1,3,16,bugday,A
1270,Demirköy,2022,1,4,21,bugday,A
1270,Demirköy,2023,1,4,21,bugday,A
1270,Demirköy,2024,1,4,21,bugday,A
1270,Demirköy,2025,1,4,21,bugday,A
1295,Merkez,2004,2,0,2,bugday,A
1295,Merkez,2005,2,0,2,bugday,A
1295,Merkez,2006,2,0,2,bugday,A
1295,Merkez,2007,2,0,2,bugday,A
1295,Merkez,2008,2,0,2,bugday,A
1295,Merkez,2009,2,1,7,bugday,A
1295,Merkez,2010,2,1,7,bugday,A
1295,Merkez,2011,2,1,7,bugday,A
1295,Merkez,2012,2,1,7,bugday,A
1295,Merkez,2013,2,2,12,bugday,A
1295,Merkez,2014,2,2,12,bugday,A
1295,Merkez,2015,2,2,12,bugday,A
1295,Merkez,2016,2,2,12,bugday,A
1295,Merkez,2017,2,2,12,bugday,A
1295,Merkez,2018,2,3,17,bugday,A
1295,Merkez,2019,2,3,17,bugday,A
1295,Merkez,2020,2,3,17,bugday,A
1295,Merkez,2021,2,3,17,bugday,A
1295,Merkez,2022,2,4,22,bugday,A
1295,Merkez,2023,2,4,22,bugday,A
1295,Merkez,2024,2,4,22,bugday,A
1295,Merkez,2025,2,4,22,bugday,A
1307,Enez,2004,0,0,0,bugday,A
1307,Enez,2005,0,0,0,bugday,A
1307,Enez,2006,0,0,0,bugday,A
1307,Enez,2007,0,0,0,bugday,A
1307,Enez,2008,0,0,0,bugday,A
1307,Enez,2009,0,1,5,bugday,A
1307,Enez,2010,0,1,5,bugday,A
1307,Enez,2011,0,1,5,bugday,A
1307,Enez,2012,0,1,5,bugday,A
1307,Enez,2013,0,2,10,bugday,A
1307,Enez,2014,0,2,10,bugday,A
1307,Enez,2015,0,2,10,bugday,A
1307,Enez,2016,0,2,10,bugday,A
1307,Enez,2017,0,2,10,bugday,A
1307,Enez,2018,0,3,15,bugday,A
1307,Enez,2019,0,3,15,bugday,A
1307,Enez,2020,0,3,15,bugday,A
1307,Enez,2021,0,3,15,bugday,A
1307,Enez,2022,0,4,20,bugday,A
1307,Enez,2023,0,4,20,bugday,A
1307,Enez,2024,0,4,20,bugday,A
1307,Enez,2025,0,4,20,bugday,A
1385,Havsa,2004,2,0,2,bugday,A
1385,Havsa,2005,2,0,2,bugday,A
1385,Havsa,2006,2,0,2,bugday,A
1385,Havsa,2007,2,0,2,bugday,A
1385,Havsa,2008,2,0,2,bugday,A
1385,Havsa,2009,2,1,7,bugday,A
1385,Havsa,2010,2,1,7,bugday,A
1385,Havsa,2011,2,1,7,bugday,A
1385,Havsa,2012,2,1,7,bugday,A
1385,Havsa,2013,2,2,12,bugday,A
1385,Havsa,2014,2,2,12,bugday,A
1385,Havsa,2015,2,2,12,bugday,A
1385,Havsa,2016,2,2,12,bugday,A
1385,Havsa,2017,2,2,12,bugday,A
1385,Havsa,2018,2,3,17,bugday,A
1385,Havsa,2019,2,3,17,bugday,A
1385,Havsa,2020,2,3,17,bugday,A
1385,Havsa,2021,2,3,17,bugday,A
1385,Havsa,2022,2,4,22,bugday,A
1385,Havsa,2023,2,4,22,bugday,A
1385,Havsa,2024,2,4,22,bugday,A
1385,Havsa,2025,2,4,22,bugday,A
1388,Hayrabolu,2004,2,0,2,bugday,A
1388,Hayrabolu,2005,2,0,2,bugday,A
1388,Hayrabolu,2006,2,0,2,bugday,A
1388,Hayrabolu,2007,2,0,2,bugday,A
1388,Hayrabolu,2008,2,0,2,bugday,A
1388,Hayrabolu,2009,2,1,7,bugday,A
1388,Hayrabolu,2010,2,1,7,bugday,A
1388,Hayrabolu,2011,2,1,7,bugday,A
1388,Hayrabolu,2012,2,1,7,bugday,A
1388,Hayrabolu,2013,2,2,12,bugday,A
1388,Hayrabolu,2014,2,2,12,bugday,A
1388,Hayrabolu,2015,2,2,12,bugday,A
1388,Hayrabolu,2016,2,2,12,bugday,A
1388,Hayrabolu,2017,2,2,12,bugday,A
1388,Hayrabolu,2018,2,3,17,bugday,A
1388,Hayrabolu,2019,2,3,17,bugday,A
1388,Hayrabolu,2020,2,3,17,bugday,A
1388,Hayrabolu,2021,2,3,17,bugday,A
1388,Hayrabolu,2022,2,4,22,bugday,A
1388,Hayrabolu,2023,2,4,22,bugday,A
1388,Hayrabolu,2024,2,4,22,bugday,A
1388,Hayrabolu,2025,2,4,22,bugday,A
1412,İpsala,2004,0,0,0,bugday,A
1412,İpsala,2005,0,0,0,bugday,A
1412,İpsala,2006,0,0,0,bugday,A
1412,İpsala,2007,0,0,0,bugday,A
1412,İpsala,2008,0,0,0,bugday,A
1412,İpsala,2009,0,1,5,bugday,A
1412,İpsala,2010,0,1,5,bugday,A
1412,İpsala,2011,0,1,5,bugday,A
1412,İpsala,2012,0,1,5,bugday,A
1412,İpsala,2013,0,2,10,bugday,A
1412,İpsala,2014,0,2,10,bugday,A
1412,İpsala,2015,0,2,10,bugday,A
1412,İpsala,2016,0,2,10,bugday,A
1412,İpsala,2017,0,2,10,bugday,A
1412,İpsala,2018,0,3,15,bugday,A
1412,İpsala,2019,0,3,15,bugday,A
1412,İpsala,2020,0,3,15,bugday,A
1412,İpsala,2021,0,3,15,bugday,A
1412,İpsala,2022,0,4,20,bugday,A
1412,İpsala,2023,0,4,20,bugday,A
1412,İpsala,2024,0,4,20,bugday,A
1412,İpsala,2025,0,4,20,bugday,A
1464,Keşan,2004,4,0,4,bugday,A
1464,Keşan,2005,4,0,4,bugday,A
1464,Keşan,2006,4,0,4,bugday,A
1464,Keşan,2007,4,0,4,bugday,A
1464,Keşan,2008,4,0,4,bugday,A
1464,Keşan,2009,4,1,9,bugday,A
1464,Keşan,2010,4,1,9,bugday,A
1464,Keşan,2011,4,1,9,bugday,A
1464,Keşan,2012,4,1,9,bugday,A
1464,Keşan,2013,4,2,14,bugday,A
1464,Keşan,2014,4,2,14,bugday,A
1464,Keşan,2015,4,2,14,bugday,A
1464,Keşan,2016,4,2,14,bugday,A
1464,Keşan,2017,4,2,14,bugday,A
1464,Keşan,2018,4,3,19,bugday,A
1464,Keşan,2019,4,3,19,bugday,A
1464,Keşan,2020,4,3,19,bugday,A
1464,Keşan,2021,4,3,19,bugday,A
1464,Keşan,2022,4,4,24,bugday,A
1464,Keşan,2023,4,4,24,bugday,A
1464,Keşan,2024,4,4,24,bugday,A
1464,Keşan,2025,4,4,24,bugday,A
1471,Merkez,2004,1,0,1,bugday,A
1471,Merkez,2005,1,0,1,bugday,A
1471,Merkez,2006,1,0,1,bugday,A
1471,Merkez,2007,1,0,1,bugday,A
1471,Merkez,2008,1,0,1,bugday,A
1471,Merkez,2009,1,1,6,bugday,A
1471,Merkez,2010,1,1,6,bugday,A
1471,Merkez,2011,1,1,6,bugday,A
1471,Merkez,2012,1,1,6,bugday,A
1471,Merkez,2013,1,2,11,bugday,A
1471,Merkez,2014,1,2,11,bugday,A
1471,Merkez,2015,1,2,11,bugday,A
1471,Merkez,2016,1,2,11,bugday,A
1471,Merkez,2017,1,2,11,bugday,A
1471,Merkez,2018,1,3,16,bugday,A
1471,Merkez,2019,1,3,16,bugday,A
