date,NDVI
2023-01-07,0.3929860399124769
2023-01-22,0.269284660288259
2023-02-01,0.47869563837550155
2023-02-11,0.4546601942325076
2023-02-16,0.4370289319611203
2023-02-21,0.4637733109358423
2023-03-08,0.3642427520176476
2023-03-13,0.5353987927369674
2023-04-02,0.5045690871755586
2023-04-07,0.5968520368196861
2023-04-22,0.6221603027939047
2023-05-02,0.631771505014012
2023-05-07,0.6361167086332414
2023-05-22,0.6027436604980604
2023-05-27,0.5305629775522999
2023-06-01,0.554238316821362
2023-06-06,0.4801219123773753
2023-06-16,0.35651752709997486
2023-06-21,0.3914179959910378
2023-07-01,0.3956223593416558
2023-07-06,0.3621144827090789
2023-07-11,0.3823058709172864
2023-07-16,0.3885926863707498
2023-07-21,0.37948045168169303
2023-07-26,0.3823200827310836
2023-07-31,0.4197923639618921
2023-08-05,0.4436971137206334
2023-08-20,0.4183760207478942
2023-08-25,0.40924759084170215
2023-08-30,0.39916922107043984
2023-09-04,0.4044487496261404
2023-09-09,0.4384621446496219
2023-09-19,0.4152335450721714
2023-09-24,0.37711473627855613
2023-09-29,0.39832535314670603
2023-10-04,0.34189343564367347
2023-10-09,0.30287475514043294
2023-10-14,0.27675543964895494
2023-10-19,0.2774421271969792
2023-10-24,0.23254448783376314
2023-10-29,0.2149982673355997
2023-11-03,0.1860622484344532
2023-11-08,0.18081683142662613
2023-12-18,0.3848509871560916
2023-12-23,0.12893956724765346
2023-12-28,0.43611099883005505
