crop,tier,feature,group,importance,status
bugday,D,EVI_peak_mean,idx_mean,0.0093,dropped_collinear
bugday,D,EVI_grainfill_mean,idx_mean,0.0055,dropped_lowrank
bugday,D,clay_0_30_mean,soil,0.00683,dropped_lowrank
bugday,D,sand_0_30_mean,soil,0.00465,dropped_lowrank
bugday,D,silt_0_30_mean,soil,0.00349,dropped_collinear
bugday,D,phh2o_0_30_mean,soil,0.00487,dropped_lowrank
bugday,D,soc_0_30_mean,soil,0.00393,dropped_collinear
bugday,D,cec_0_30_mean,soil,0.00399,dropped_lowrank
bugday,D,bdod_0_30_mean,soil,0.01522,selected
bugday,D,nitrogen_0_30_mean,soil,0.00514,dropped_lowrank
bugday,D,cfvo_0_30_mean,soil,0.04798,selected
bugday,D,awc_0_30,soil,0.00416,dropped_lowrank
bugday,D,NDVI_greenup_median,idx_pheno,0.00217,dropped_collinear
bugday,D,NDVI_greenup_stdDev,idx_pheno,0.00765,dropped_lowrank
bugday,D,NDVI_greenup_p10,idx_pheno,0.0035,dropped_collinear
bugday,D,NDVI_greenup_p90,idx_pheno,0.00318,dropped_collinear
bugday,D,NDVI_greenup_cv,idx_pheno,0.00549,dropped_collinear
bugday,D,NDVI_greenup_range,idx_pheno,0.00515,dropped_collinear
bugday,D,NDVI_peak_median,idx_pheno,0.02029,dropped_collinear
bugday,D,NDVI_peak_stdDev,idx_pheno,0.00433,dropped_collinear
bugday,D,NDVI_peak_p10,idx_pheno,0.00558,dropped_collinear
bugday,D,NDVI_peak_p90,idx_pheno,0.01807,dropped_collinear
bugday,D,NDVI_peak_cv,idx_pheno,0.00943,dropped_lowrank
bugday,D,NDVI_peak_range,idx_pheno,0.00338,dropped_collinear
bugday,D,NDVI_grainfill_median,idx_pheno,0.00351,dropped_collinear
bugday,D,NDVI_grainfill_stdDev,idx_pheno,0.00658,dropped_collinear
bugday,D,NDVI_grainfill_p10,idx_pheno,0.00598,dropped_collinear
bugday,D,NDVI_grainfill_p90,idx_pheno,0.0052,dropped_collinear
bugday,D,NDVI_grainfill_cv,idx_pheno,0.00263,dropped_lowrank
bugday,D,NDVI_grainfill_range,idx_pheno,0.00533,dropped_collinear
bugday,D,NDRE_greenup_median,idx_pheno,0.00224,dropped_collinear
bugday,D,NDRE_greenup_stdDev,idx_pheno,0.00256,dropped_collinear
bugday,D,NDRE_greenup_p10,idx_pheno,0.003,dropped_collinear
bugday,D,NDRE_greenup_p90,idx_pheno,0.00391,dropped_collinear
bugday,D,NDRE_greenup_cv,idx_pheno,0.00719,dropped_lowrank
bugday,D,NDRE_greenup_range,idx_pheno,0.00365,dropped_lowrank
bugday,D,NDRE_peak_median,idx_pheno,0.00732,dropped_collinear
bugday,D,NDRE_peak_stdDev,idx_pheno,0.01039,selected
bugday,D,NDRE_peak_p10,idx_pheno,0.0115,selected
bugday,D,NDRE_peak_p90,idx_pheno,0.17806,dropped_collinear
bugday,D,NDRE_peak_cv,idx_pheno,0.00321,dropped_collinear
bugday,D,NDRE_peak_range,idx_pheno,0.00511,dropped_collinear
bugday,D,NDRE_grainfill_median,idx_pheno,0.00327,dropped_collinear
bugday,D,NDRE_grainfill_stdDev,idx_pheno,0.00996,dropped_collinear
bugday,D,NDRE_grainfill_p10,idx_pheno,0.00466,dropped_collinear
bugday,D,NDRE_grainfill_p90,idx_pheno,0.00682,dropped_collinear
bugday,D,NDRE_grainfill_cv,idx_pheno,0.00197,dropped_collinear
bugday,D,NDRE_grainfill_range,idx_pheno,0.00612,dropped_collinear
bugday,D,EVI_greenup_median,idx_pheno,0.00536,dropped_collinear
bugday,D,EVI_greenup_stdDev,idx_pheno,0.00262,dropped_collinear
bugday,D,EVI_greenup_p10,idx_pheno,0.01622,dropped_collinear
bugday,D,EVI_greenup_p90,idx_pheno,0.0032,dropped_collinear
bugday,D,EVI_greenup_cv,idx_pheno,0.01413,selected
bugday,D,EVI_greenup_range,idx_pheno,0.00298,dropped_lowrank
bugday,D,EVI_peak_median,idx_pheno,0.01581,dropped_collinear
bugday,D,EVI_peak_stdDev,idx_pheno,0.00651,dropped_collinear
bugday,D,EVI_peak_p10,idx_pheno,0.07513,selected
bugday,D,EVI_peak_p90,idx_pheno,0.00598,dropped_lowrank
bugday,D,EVI_peak_cv,idx_pheno,0.02158,selected
bugday,D,EVI_peak_range,idx_pheno,0.00676,dropped_lowrank
bugday,D,EVI_grainfill_median,idx_pheno,0.00372,dropped_collinear
bugday,D,EVI_grainfill_stdDev,idx_pheno,0.011,dropped_collinear
bugday,D,EVI_grainfill_p10,idx_pheno,0.0108,selected
bugday,D,EVI_grainfill_p90,idx_pheno,0.00476,dropped_collinear
bugday,D,EVI_grainfill_cv,idx_pheno,0.00439,dropped_lowrank
bugday,D,EVI_grainfill_range,idx_pheno,0.0144,selected
aycicegi,A,gdd_cum_season,climate,0.0966,selected
aycicegi,A,gdd_flowering,climate,0.07056,dropped_collinear
aycicegi,A,vernalization_days,climate,0.0,selected
aycicegi,A,tp_season_sum,climate,0.22219,selected
aycicegi,A,tp_winter_sum,climate,0.0,selected
aycicegi,A,tp_flowering,climate,0.08296,selected
aycicegi,A,tp_grain_fill,climate,0.06747,selected
aycicegi,A,aridity_index,climate,0.07917,selected
aycicegi,A,heat_stress_days,climate,0.03169,dropped_collinear
aycicegi,A,t2m_flowering_mean,climate,0.07348,selected
aycicegi,A,t2m_flowering_max,climate,0.04042,selected
aycicegi,A,tdiff_mean,climate,0.03084,selected
aycicegi,A,ssr_flowering_sum,climate,0.04384,selected
aycicegi,A,ssr_season_sum,climate,0.16077,selected
aycicegi,B,gdd_cum_season,climate,0.04903,selected
aycicegi,B,gdd_flowering,climate,0.05351,dropped_collinear
aycicegi,B,vernalization_days,climate,0.0,dropped_lowrank
aycicegi,B,tp_season_sum,climate,0.18983,selected
aycicegi,B,tp_winter_sum,climate,0.0,dropped_lowrank
aycicegi,B,tp_flowering,climate,0.05436,selected
aycicegi,B,tp_grain_fill,climate,0.05121,selected
aycicegi,B,aridity_index,climate,0.05368,selected
aycicegi,B,heat_stress_days,climate,0.01366,dropped_collinear
aycicegi,B,t2m_flowering_mean,climate,0.06321,selected
aycicegi,B,t2m_flowering_max,climate,0.02642,selected
aycicegi,B,tdiff_mean,climate,0.01146,selected
aycicegi,B,ssr_flowering_sum,climate,0.02498,selected
aycicegi,B,ssr_season_sum,climate,0.08881,selected
aycicegi,B,NDVI_greenup_mean,idx_mean,0.04882,selected
aycicegi,B,NDVI_peak_mean,idx_mean,0.08719,selected
aycicegi,B,NDVI_harvest_mean,idx_mean,0.01666,dropped_collinear
aycicegi,B,NDRE_greenup_mean,idx_mean,0.02008,dropped_collinear
aycicegi,B,NDRE_peak_mean,idx_mean,0.03488,dropped_collinear
aycicegi,B,NDRE_harvest_mean,idx_mean,0.03697,selected
aycicegi,B,EVI_greenup_mean,idx_mean,0.01948,dropped_collinear
aycicegi,B,EVI_peak_mean,idx_mean,0.0357,dropped_collinear
aycicegi,B,EVI_harvest_mean,idx_mean,0.02006,dropped_collinear
aycicegi,C,gdd_cum_season,climate,0.01755,dropped_lowrank
aycicegi,C,gdd_flowering,climate,0.05021,dropped_collinear
aycicegi,C,vernalization_days,climate,0.0,dropped_lowrank
aycicegi,C,tp_season_sum,climate,0.18107,selected
aycicegi,C,tp_winter_sum,climate,0.0,dropped_lowrank
aycicegi,C,tp_flowering,climate,0.04079,selected
aycicegi,C,tp_grain_fill,climate,0.04813,selected
aycicegi,C,aridity_index,climate,0.0392,selected
aycicegi,C,heat_stress_days,climate,0.00831,dropped_collinear
aycicegi,C,t2m_flowering_mean,climate,0.05493,selected
aycicegi,C,t2m_flowering_max,climate,0.02038,selected
aycicegi,C,tdiff_mean,climate,0.00675,dropped_lowrank
aycicegi,C,ssr_flowering_sum,climate,0.01572,dropped_lowrank
aycicegi,C,ssr_season_sum,climate,0.08327,selected
aycicegi,C,NDVI_greenup_mean,idx_mean,0.0408,selected
aycicegi,C,NDVI_peak_mean,idx_mean,0.04948,selected
aycicegi,C,NDVI_harvest_mean,idx_mean,0.00726,dropped_collinear
aycicegi,C,NDRE_greenup_mean,idx_mean,0.01065,dropped_collinear
aycicegi,C,NDRE_peak_mean,idx_mean,0.0152,dropped_collinear
aycicegi,C,NDRE_harvest_mean,idx_mean,0.01436,dropped_lowrank
aycicegi,C,EVI_greenup_mean,idx_mean,0.01221,dropped_collinear
aycicegi,C,EVI_peak_mean,idx_mean,0.02004,dropped_collinear
aycicegi,C,EVI_harvest_mean,idx_mean,0.01118,dropped_collinear
aycicegi,C,clay_0_30_mean,soil,0.00733,dropped_lowrank
aycicegi,C,sand_0_30_mean,soil,0.03808,selected
aycicegi,C,silt_0_30_mean,soil,0.00857,dropped_collinear
aycicegi,C,phh2o_0_30_mean,soil,0.01394,dropped_lowrank
aycicegi,C,soc_0_30_mean,soil,0.0057,dropped_lowrank
aycicegi,C,cec_0_30_mean,soil,0.02611,selected
aycicegi,C,bdod_0_30_mean,soil,0.01667,dropped_lowrank
aycicegi,C,nitrogen_0_30_mean,soil,0.01536,dropped_lowrank
aycicegi,C,cfvo_0_30_mean,soil,0.07523,selected
aycicegi,C,awc_0_30,soil,0.04551,selected
aycicegi,D,gdd_cum_season,climate,0.00932,dropped_lowrank
aycicegi,D,gdd_flowering,climate,0.0377,dropped_collinear
aycicegi,D,vernalization_days,climate,0.0,dropped_lowrank
aycicegi,D,tp_season_sum,climate,0.14551,selected
aycicegi,D,tp_winter_sum,climate,0.0,dropped_lowrank
aycicegi,D,tp_flowering,climate,0.01549,selected
aycicegi,D,tp_grain_fill,climate,0.02403,selected
aycicegi,D,aridity_index,climate,0.04983,selected
aycicegi,D,heat_stress_days,climate,0.00356,dropped_collinear
aycicegi,D,t2m_flowering_mean,climate,0.03774,selected
aycicegi,D,t2m_flowering_max,climate,0.01064,dropped_lowrank
aycicegi,D,tdiff_mean,climate,0.00219,dropped_lowrank
aycicegi,D,ssr_flowering_sum,climate,0.00694,dropped_lowrank
aycicegi,D,ssr_season_sum,climate,0.01833,selected
aycicegi,D,NDVI_greenup_mean,idx_mean,0.00246,dropped_lowrank
aycicegi,D,NDVI_peak_mean,idx_mean,0.00618,dropped_lowrank
aycicegi,D,NDVI_harvest_mean,idx_mean,0.00143,dropped_collinear
aycicegi,D,NDRE_greenup_mean,idx_mean,0.00144,dropped_collinear
aycicegi,D,NDRE_peak_mean,idx_mean,0.00328,dropped_collinear
aycicegi,D,NDRE_harvest_mean,idx_mean,0.00398,dropped_lowrank
aycicegi,D,EVI_greenup_mean,idx_mean,0.00239,dropped_collinear
aycicegi,D,EVI_peak_mean,idx_mean,0.00371,dropped_collinear
aycicegi,D,EVI_harvest_mean,idx_mean,0.00172,dropped_collinear
aycicegi,D,clay_0_30_mean,soil,0.0039,dropped_lowrank
aycicegi,D,sand_0_30_mean,soil,0.02293,selected
aycicegi,D,silt_0_30_mean,soil,0.00565,dropped_collinear
aycicegi,D,phh2o_0_30_mean,soil,0.00798,dropped_lowrank
aycicegi,D,soc_0_30_mean,soil,0.0019,dropped_lowrank
aycicegi,D,cec_0_30_mean,soil,0.01462,dropped_lowrank
aycicegi,D,bdod_0_30_mean,soil,0.004,dropped_lowrank
aycicegi,D,nitrogen_0_30_mean,soil,0.00425,dropped_lowrank
aycicegi,D,cfvo_0_30_mean,soil,0.05831,selected
aycicegi,D,awc_0_30,soil,0.03258,selected
aycicegi,D,NDVI_greenup_median,idx_pheno,0.02514,dropped_collinear
aycicegi,D,NDVI_greenup_stdDev,idx_pheno,0.00285,dropped_collinear
aycicegi,D,NDVI_greenup_p10,idx_pheno,0.00777,dropped_collinear
aycicegi,D,NDVI_greenup_p90,idx_pheno,0.00234,dropped_collinear
aycicegi,D,NDVI_greenup_cv,idx_pheno,0.11364,selected
aycicegi,D,NDVI_greenup_range,idx_pheno,0.00297,dropped_lowrank
aycicegi,D,NDVI_peak_median,idx_pheno,0.01297,dropped_collinear
aycicegi,D,NDVI_peak_stdDev,idx_pheno,0.00176,dropped_collinear
aycicegi,D,NDVI_peak_p10,idx_pheno,0.04727,selected
aycicegi,D,NDVI_peak_p90,idx_pheno,0.00267,dropped_collinear
aycicegi,D,NDVI_peak_cv,idx_pheno,0.00307,dropped_collinear
aycicegi,D,NDVI_peak_range,idx_pheno,0.00309,dropped_collinear
aycicegi,D,NDVI_harvest_median,idx_pheno,0.00436,dropped_collinear
aycicegi,D,NDVI_harvest_stdDev,idx_pheno,0.00229,dropped_collinear
aycicegi,D,NDVI_harvest_p10,idx_pheno,0.00346,dropped_collinear
aycicegi,D,NDVI_harvest_p90,idx_pheno,0.00289,dropped_collinear
aycicegi,D,NDVI_harvest_cv,idx_pheno,0.00188,dropped_collinear
aycicegi,D,NDVI_harvest_range,idx_pheno,0.00258,dropped_collinear
aycicegi,D,NDRE_greenup_median,idx_pheno,0.00214,dropped_collinear
aycicegi,D,NDRE_greenup_stdDev,idx_pheno,0.00236,dropped_lowrank
aycicegi,D,NDRE_greenup_p10,idx_pheno,0.00259,dropped_lowrank
aycicegi,D,NDRE_greenup_p90,idx_pheno,0.00291,dropped_collinear
aycicegi,D,NDRE_greenup_cv,idx_pheno,0.0039,dropped_lowrank
aycicegi,D,NDRE_greenup_range,idx_pheno,0.00211,dropped_collinear
aycicegi,D,NDRE_peak_median,idx_pheno,0.00585,dropped_collinear
aycicegi,D,NDRE_peak_stdDev,idx_pheno,0.00554,dropped_collinear
aycicegi,D,NDRE_peak_p10,idx_pheno,0.02532,selected
aycicegi,D,NDRE_peak_p90,idx_pheno,0.00324,dropped_collinear
aycicegi,D,NDRE_peak_cv,idx_pheno,0.01693,selected
aycicegi,D,NDRE_peak_range,idx_pheno,0.00803,dropped_lowrank
aycicegi,D,NDRE_harvest_median,idx_pheno,0.00451,dropped_collinear
aycicegi,D,NDRE_harvest_stdDev,idx_pheno,0.00282,dropped_collinear
aycicegi,D,NDRE_harvest_p10,idx_pheno,0.00489,dropped_collinear
aycicegi,D,NDRE_harvest_p90,idx_pheno,0.00499,dropped_collinear
aycicegi,D,NDRE_harvest_cv,idx_pheno,0.00342,dropped_collinear
aycicegi,D,NDRE_harvest_range,idx_pheno,0.00282,dropped_collinear
aycicegi,D,EVI_greenup_median,idx_pheno,0.00246,dropped_collinear
aycicegi,D,EVI_greenup_stdDev,idx_pheno,0.00666,dropped_lowrank
aycicegi,D,EVI_greenup_p10,idx_pheno,0.00174,dropped_collinear
aycicegi,D,EVI_greenup_p90,idx_pheno,0.00417,dropped_collinear
aycicegi,D,EVI_greenup_cv,idx_pheno,0.0106,dropped_collinear
aycicegi,D,EVI_greenup_range,idx_pheno,0.00404,dropped_collinear
aycicegi,D,EVI_peak_median,idx_pheno,0.00394,dropped_collinear
aycicegi,D,EVI_peak_stdDev,idx_pheno,0.00853,dropped_collinear
aycicegi,D,EVI_peak_p10,idx_pheno,0.0066,dropped_lowrank
aycicegi,D,EVI_peak_p90,idx_pheno,0.01056,dropped_collinear
aycicegi,D,EVI_peak_cv,idx_pheno,0.0116,dropped_lowrank
aycicegi,D,EVI_peak_range,idx_pheno,0.0132,dropped_lowrank
aycicegi,D,EVI_harvest_median,idx_pheno,0.00205,dropped_collinear
aycicegi,D,EVI_harvest_stdDev,idx_pheno,0.00369,dropped_lowrank
aycicegi,D,EVI_harvest_p10,idx_pheno,0.00546,dropped_lowrank
aycicegi,D,EVI_harvest_p90,idx_pheno,0.00503,dropped_collinear
aycicegi,D,EVI_harvest_cv,idx_pheno,0.00509,dropped_lowrank
aycicegi,D,EVI_harvest_range,idx_pheno,0.00321,dropped_collinear
